,Peak Position,Weeks on Chart,spotify_track_duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,explicit,YearID
Young Lovers,6.0,10.0,177560.0,0.531,0.92,11.0,-5.013,0.0,0.0397,0.00018,0.00613,0.32,0.9,152.2,3.0,0,1963
Here I Stand,51.0,8.0,348333.0,0.6990000000000001,0.96,1.0,-7.244,0.0,0.1,0.198,1.36e-06,0.675,0.57,117.427,4.0,0,1963
Linda,28.0,13.0,164640.0,0.449,0.537,6.0,-13.138,1.0,0.0392,0.551,0.000148,0.41200000000000003,0.961,119.689,4.0,0,1963
Bony Moronie,62.0,8.0,226200.0,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,4.0,0,1963
He's A Bad Boy,98.0,3.0,167213.0,0.657,0.841,9.0,-4.188,1.0,0.0452,0.16,0.0,0.177,0.722,120.009,4.0,0,1963
Heart! (I Hear You Beating),82.0,4.0,204626.0,0.792,0.865,11.0,-3.04,0.0,0.0337,0.00503,1.64e-06,0.0375,0.833,103.935,4.0,1,1963
Young And In Love,17.0,11.0,251200.0,0.78,0.6920000000000001,2.0,-7.031000000000001,0.0,0.0325,0.18600000000000003,0.0175,0.094,0.579,124.678,4.0,0,1963
Watermelon Man,10.0,11.0,239893.0,0.591,0.6990000000000001,8.0,-8.169,1.0,0.0286,0.0171,1.61e-06,0.168,0.325,87.971,4.0,0,1963
Days Of Wine And Roses,33.0,18.0,194560.0,0.736,0.8640000000000001,8.0,-6.567,1.0,0.0397,0.0179,1.62e-05,0.345,0.763,108.82799999999999,4.0,0,1963
The Last Minute (Pt. I),99.0,1.0,208330.0,0.5,0.631,2.0,-7.77,1.0,0.0353,0.16899999999999998,0.0,0.11,0.289,90.103,4.0,0,1963
Tom Cat,20.0,10.0,249306.0,0.589,0.631,11.0,-6.62,0.0,0.0253,0.518,0.0,0.522,0.54,89.175,4.0,0,1963
Call Me Irresponsible,78.0,8.0,211413.0,0.917,0.823,7.0,-8.445,0.0,0.0368,0.16699999999999998,0.0009449999999999999,0.0258,0.9690000000000001,132.56,4.0,0,1963
"Ronnie, Call Me When You Get A Chance",72.0,5.0,158573.0,0.37,0.6859999999999999,5.0,-8.031,0.0,0.0359,0.499,1.7e-05,0.217,0.691,86.475,4.0,0,1963
Baby Workout,5.0,12.0,164106.0,0.628,0.703,7.0,-8.417,1.0,0.0271,0.225,1.56e-06,0.294,0.941,139.04399999999998,4.0,0,1963
I Know I Know,96.0,1.0,136560.0,0.541,0.36700000000000005,7.0,-11.942,0.0,0.0335,0.884,2.8199999999999998e-05,0.115,0.39,103.01799999999999,4.0,0,1963
The Bird's The Word,52.0,7.0,211908.0,0.696,0.8009999999999999,5.0,-5.641,0.0,0.0952,0.0469,0.0,0.502,0.536,93.00299999999999,4.0,1,1963
Don't Say Nothin' Bad (About My Baby),7.0,13.0,212480.0,0.552,0.455,3.0,-6.355,1.0,0.0252,0.5379999999999999,0.0,0.259,0.42100000000000004,89.509,3.0,0,1963
River's Invitation,99.0,1.0,156893.0,0.943,0.664,4.0,-5.952000000000001,0.0,0.106,0.235,5.84e-06,0.11199999999999999,0.93,120.051,4.0,1,1963
He's So Fine,1.0,15.0,344293.0,0.75,0.573,10.0,-8.391,0.0,0.0779,0.13699999999999998,1.89e-05,0.133,0.303,143.94799999999998,4.0,1,1963
Charms,13.0,10.0,217333.0,0.61,0.583,11.0,-9.804,0.0,0.0371,0.109,0.0,0.28,0.909,104.337,4.0,0,1963
Mecca,12.0,11.0,238560.0,0.62,0.61,11.0,-8.329,0.0,0.0373,0.008490000000000001,0.162,0.205,0.235,127.052,4.0,0,1963
The Dog,94.0,8.0,387266.0,0.628,0.637,0.0,-13.175,1.0,0.0294,0.151,0.00109,0.262,0.755,110.447,4.0,0,1963
Got You On My Mind,94.0,4.0,188933.0,0.563,0.887,1.0,-5.013,1.0,0.0857,0.0297,0.0,0.35200000000000004,0.794,158.05,4.0,0,1963
The Last Leaf,60.0,5.0,168680.0,0.445,0.6940000000000001,9.0,-5.521,1.0,0.0345,0.0146,0.0,0.121,0.521,116.20299999999999,4.0,0,1963
That's How Heartaches Are Made,40.0,12.0,248973.0,0.506,0.9309999999999999,5.0,-5.635,1.0,0.0305,0.00146,0.0227,0.27,0.865,129.56799999999998,4.0,0,1963
Gravy Waltz,64.0,7.0,221332.0,0.586,0.872,7.0,-5.066,1.0,0.0483,0.018000000000000002,0.0,0.622,0.7290000000000001,159.925,4.0,0,1963
Two Kind Of Teardrops,50.0,9.0,119600.0,0.664,0.35200000000000004,7.0,-14.901,1.0,0.0365,0.745,0.0,0.161,0.843,148.017,4.0,0,1963
Little Band Of Gold,21.0,12.0,350040.0,0.816,0.778,10.0,-8.068,0.0,0.031,0.00579,0.0017100000000000001,0.0645,0.9570000000000001,124.34100000000001,4.0,0,1963
These Arms Of Mine,85.0,3.0,276000.0,0.742,0.6,7.0,-9.647,0.0,0.0319,0.142,0.0,0.0677,0.9540000000000001,101.92,4.0,0,1963
Can't Get Used To Losing You,2.0,15.0,242013.0,0.845,0.601,1.0,-5.2829999999999995,1.0,0.161,0.0205,0.0,0.385,0.32899999999999996,74.008,4.0,1,1963
What A Guy,41.0,8.0,267293.0,0.787,0.63,0.0,-12.295,1.0,0.0609,0.0274,6.69e-06,0.161,0.882,125.34700000000001,4.0,0,1963
Spring In Manhattan,92.0,2.0,217153.0,0.39299999999999996,0.45,6.0,-10.626,0.0,0.131,0.0216,8.209999999999999e-05,0.44299999999999995,0.389,149.67,3.0,0,1963
Pipeline,4.0,16.0,410853.0,0.48700000000000004,0.696,7.0,-7.431,1.0,0.0385,0.0135,0.20600000000000002,0.175,0.645,98.954,4.0,0,1963
"Sad, Sad Girl And Boy",84.0,4.0,192440.0,0.682,0.889,0.0,-4.166,1.0,0.0804,0.00564,0.0,0.36,0.8270000000000001,138.02100000000002,4.0,0,1963
Hobo Flats - Part I,69.0,6.0,216131.0,0.56,0.9590000000000001,7.0,-2.4330000000000003,1.0,0.102,0.0007379999999999999,0.000206,0.209,0.67,163.983,4.0,1,1963
Teenage Heaven,58.0,6.0,286426.0,0.735,0.8440000000000001,1.0,-5.215,1.0,0.16699999999999998,0.142,0.0,0.319,0.742,156.069,4.0,1,1963
You Know It Ain't Right,88.0,3.0,157493.0,0.511,0.47100000000000003,0.0,-9.281,1.0,0.0245,0.765,2.35e-06,0.17300000000000001,0.609,100.24799999999999,3.0,0,1963
Ain't That A Shame!,22.0,9.0,235933.0,0.604,0.866,5.0,-6.742000000000001,1.0,0.0335,0.0151,0.0013800000000000002,0.35700000000000004,0.752,122.917,4.0,0,1963
A Stranger In Your Town,70.0,6.0,273640.0,0.312,0.499,7.0,-6.282,1.0,0.0397,0.272,0.0,0.0901,0.191,148.173,4.0,0,1963
"Lonely Boy, Lonely Guitar",82.0,5.0,164426.0,0.7090000000000001,0.376,8.0,-15.648,0.0,0.035,0.266,0.0,0.0473,0.961,118.325,4.0,0,1963
Puff (The Magic Dragon),2.0,14.0,178640.0,0.507,0.857,2.0,-7.409,1.0,0.0452,0.0321,0.0759,0.10300000000000001,0.0781,134.423,1.0,1,1963
Patty Baby,65.0,7.0,229226.0,0.602,0.33799999999999997,11.0,-12.370999999999999,1.0,0.0293,0.727,0.0,0.0849,0.25,126.23200000000001,4.0,0,1963
El Watusi,17.0,9.0,315586.0,0.45899999999999996,0.935,6.0,-10.083,0.0,0.0423,0.00853,0.000176,0.171,0.778,119.111,4.0,0,1963
Hot Pastrami,11.0,11.0,333786.0,0.7809999999999999,0.447,10.0,-13.725,0.0,0.195,0.00502,0.0008039999999999999,0.0352,0.736,89.264,4.0,0,1963
I Will Follow Him,1.0,14.0,275395.0,0.292,0.823,7.0,-6.763,1.0,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,4.0,0,1963
Pushover,25.0,10.0,199760.0,0.52,0.415,6.0,-4.961,0.0,0.0261,0.7709999999999999,0.0,0.127,0.436,103.029,4.0,0,1963
I'm Saving My Love,41.0,7.0,245386.0,0.6940000000000001,0.759,10.0,-5.667000000000001,0.0,0.39799999999999996,0.13699999999999998,0.0,0.16699999999999998,0.77,140.055,4.0,1,1963
Breakwater,100.0,1.0,263213.0,0.613,0.885,10.0,-7.462999999999999,1.0,0.052000000000000005,0.0804,0.746,0.0997,0.919,118.506,4.0,0,1963
Don't Make My Baby Blue,51.0,7.0,179426.0,0.703,0.529,7.0,-11.112,1.0,0.1,0.0168,0.000573,0.9109999999999999,0.772,128.05700000000002,4.0,0,1963
Let's Go Steady Again,26.0,9.0,212800.0,0.698,0.835,5.0,-5.729,0.0,0.0736,0.184,2.22e-06,0.183,0.868,116.384,4.0,0,1963
Sweet Dreams (Of You),44.0,10.0,176920.0,0.642,0.846,2.0,-3.842,1.0,0.0464,0.42,0.0,0.0402,0.9440000000000001,147.938,4.0,0,1963
Soon (I'll Be Home Again),77.0,7.0,229586.0,0.49,0.873,6.0,-5.861000000000001,1.0,0.0355,0.107,5.19e-06,0.11800000000000001,0.513,103.272,4.0,0,1963
Foolish Little Girl,4.0,14.0,211066.0,0.643,0.725,7.0,-5.632000000000001,1.0,0.0231,0.0365,1.2e-06,0.326,0.6829999999999999,93.975,4.0,0,1963
Losing You,6.0,13.0,336453.0,0.446,0.239,0.0,-13.945,1.0,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,4.0,0,1963
Sting Ray,50.0,10.0,252133.0,0.6990000000000001,0.865,11.0,-7.367000000000001,0.0,0.0569,0.0626,8.44e-05,0.0327,0.8109999999999999,105.027,4.0,0,1963
If You Need Me,37.0,11.0,245560.0,0.624,0.512,2.0,-10.041,1.0,0.0297,0.541,0.0047799999999999995,0.26,0.685,93.059,4.0,0,1963
The Bounce,40.0,10.0,198413.0,0.618,0.826,2.0,-10.317,1.0,0.0414,0.0302,8.73e-06,0.25,0.64,129.066,4.0,0,1963
If You Wanna Be Happy,1.0,14.0,199227.0,0.7929999999999999,0.568,5.0,-3.528,0.0,0.0497,0.0079,0.0,0.185,0.0611,136.931,4.0,1,1963
Hello Jim,97.0,1.0,256546.0,0.59,0.735,2.0,-4.9239999999999995,1.0,0.297,0.0277,0.0,0.0818,0.39799999999999996,102.07600000000001,4.0,0,1963
Two Faces Have I,6.0,15.0,206506.0,0.687,0.7929999999999999,5.0,-3.577,1.0,0.0333,0.305,3.23e-06,0.1,0.6729999999999999,100.991,4.0,0,1963
Get Him,76.0,3.0,232720.0,0.452,0.703,2.0,-4.9030000000000005,1.0,0.0356,0.0803,0.00131,0.162,0.392,177.915,4.0,0,1963
Wildwood Days,17.0,9.0,163960.0,0.65,0.285,0.0,-12.874,1.0,0.0294,0.848,0.00172,0.565,0.575,75.145,4.0,0,1963
Scarlett O'Hara,89.0,2.0,214853.0,0.815,0.521,5.0,-8.177999999999999,0.0,0.136,0.0105,0.0,0.0509,0.887,90.079,4.0,0,1963
Shake A Hand,42.0,7.0,183808.0,0.33899999999999997,0.7070000000000001,0.0,-5.121,0.0,0.0428,0.0113,0.0,0.337,0.359,173.993,4.0,0,1963
The Love Of My Man,21.0,12.0,155266.0,0.5870000000000001,0.7859999999999999,3.0,-6.047999999999999,1.0,0.0349,0.184,0.267,0.0302,0.7929999999999999,136.089,4.0,0,1963
Give Us Your Blessing,70.0,6.0,237466.0,0.462,0.542,10.0,-8.142999999999999,1.0,0.0338,0.23800000000000002,0.0,0.115,0.255,139.881,4.0,0,1963
Old Smokey Locomotion,48.0,6.0,225666.0,0.344,0.243,0.0,-14.204,0.0,0.0352,0.684,2.47e-05,0.484,0.33899999999999997,94.662,4.0,0,1963
Birdland,12.0,9.0,145893.0,0.5920000000000001,0.293,5.0,-16.494,1.0,0.0314,0.769,0.0,0.115,0.794,105.698,4.0,0,1963
If My Pillow Could Talk,23.0,9.0,163386.0,0.5760000000000001,0.319,4.0,-10.934000000000001,1.0,0.0518,0.603,0.0,0.17300000000000001,0.0921,83.632,4.0,0,1963
Poor Little Rich Girl,27.0,8.0,292400.0,0.166,0.655,7.0,-6.145,1.0,0.0346,0.0351,0.0,0.0827,0.42200000000000004,152.792,4.0,0,1963
18 Yellow Roses,10.0,10.0,245506.0,0.451,0.467,7.0,-8.304,1.0,0.212,0.898,0.0,0.971,0.5820000000000001,91.331,4.0,0,1963
Your Old Stand By,40.0,8.0,543560.0,0.759,0.675,3.0,-14.366,0.0,0.0422,0.0261,0.0341,0.431,0.866,127.522,4.0,0,1963
Say Wonderful Things,81.0,7.0,163093.0,0.376,0.391,5.0,-10.578,1.0,0.0297,0.9440000000000001,0.00419,0.16,0.418,85.084,4.0,0,1963
The Good Life,18.0,10.0,215693.0,0.732,0.539,7.0,-12.217,1.0,0.0287,0.0658,0.00224,0.192,0.889,122.53200000000001,4.0,0,1963
Not Too Young To Get Married,63.0,6.0,146066.0,0.685,0.6559999999999999,2.0,-8.087,1.0,0.0469,0.47,0.0,0.0818,0.966,77.58800000000001,4.0,0,1963
I Wish I Were A Princess,32.0,7.0,210400.0,0.774,0.722,9.0,-8.56,0.0,0.168,0.21600000000000003,0.0,0.0589,0.7929999999999999,99.26700000000001,4.0,0,1963
Come And Get These Memories,29.0,16.0,306440.0,0.9159999999999999,0.821,4.0,-4.118,0.0,0.15,0.0528,0.0,0.0635,0.5920000000000001,90.04,4.0,1,1963
My Block,67.0,5.0,242386.0,0.657,0.6729999999999999,0.0,-7.685,1.0,0.0573,0.37200000000000005,0.000991,0.049,0.789,90.32799999999999,4.0,0,1963
Da Doo Ron Ron (When He Walked Me Home),3.0,13.0,336426.0,0.795,0.509,9.0,-8.135,0.0,0.0999,0.39799999999999996,2.71e-05,0.0815,0.833,109.339,4.0,0,1963
Shut Down,23.0,13.0,169160.0,0.314,0.215,7.0,-16.964000000000002,1.0,0.0407,0.754,0.0,0.17,0.245,85.573,4.0,0,1963
A Letter From Betty,85.0,2.0,163053.0,0.563,0.857,7.0,-7.617999999999999,1.0,0.0604,0.165,1.83e-05,0.134,0.687,118.29,4.0,0,1963
Rat Race,71.0,6.0,235160.0,0.18,0.24,10.0,-14.889000000000001,1.0,0.0412,0.41600000000000004,0.000696,0.105,0.11900000000000001,75.535,5.0,0,1963
String Along,25.0,9.0,169813.0,0.511,0.644,5.0,-7.662999999999999,0.0,0.032,0.435,5.31e-06,0.264,0.731,93.402,4.0,0,1963
Baja,94.0,1.0,265973.0,0.262,0.223,2.0,-13.604000000000001,1.0,0.035,0.54,0.0,0.0948,0.081,171.768,4.0,0,1963
Like The Big Guys Do,55.0,5.0,295000.0,0.613,0.47600000000000003,0.0,-9.648,1.0,0.0321,0.0448,0.0,0.0608,0.644,84.93799999999999,4.0,0,1963
Those Lazy-Hazy-Crazy Days Of Summer,6.0,12.0,209253.0,0.635,0.758,7.0,-5.772,1.0,0.0243,0.00643,0.0,0.22899999999999998,0.322,113.00200000000001,4.0,0,1963
What A Fool I've Been,93.0,2.0,164040.0,0.672,0.6409999999999999,1.0,-9.414,1.0,0.138,0.7190000000000001,0.0,0.0443,0.898,166.83700000000002,4.0,0,1963
You Can't Sit Down,3.0,14.0,264306.0,0.733,0.52,7.0,-13.588,1.0,0.0259,0.27899999999999997,0.00021,0.23,0.857,109.598,4.0,0,1963
My Summer Love,16.0,11.0,188377.0,0.415,0.264,4.0,-8.741,1.0,0.0475,0.948,6.31e-06,0.106,0.35700000000000004,92.87899999999999,5.0,0,1963
Antony And Cleopatra Theme,83.0,5.0,191253.0,0.579,0.878,2.0,-5.396,1.0,0.145,0.29,0.0,0.789,0.88,165.972,4.0,0,1963
Summer's Comin',49.0,7.0,123106.0,0.321,0.0683,8.0,-17.413,1.0,0.0471,0.9690000000000001,0.00217,0.124,0.313,174.40900000000002,4.0,0,1963
True Blue Lou,99.0,2.0,171586.0,0.611,0.49700000000000005,11.0,-11.138,0.0,0.0275,0.00703,0.0,0.162,0.603,134.96,4.0,0,1963
Jack The Ripper,64.0,8.0,144653.0,0.612,0.815,7.0,-4.55,1.0,0.033,0.507,0.0,0.149,0.9259999999999999,104.031,1.0,0,1963
Will Power,72.0,5.0,264493.0,0.5660000000000001,0.755,11.0,-5.526,1.0,0.0368,0.0338,0.0,0.315,0.445,101.006,4.0,0,1963
Shake A Tail Feather,51.0,12.0,199840.0,0.737,0.499,1.0,-4.604,1.0,0.0381,0.0774,5.31e-06,0.0991,0.624,95.148,4.0,0,1963
At The Shore,97.0,1.0,279573.0,0.478,0.725,7.0,-7.489,0.0,0.0249,0.0994,3.28e-06,0.0528,0.7290000000000001,93.255,4.0,0,1963
Cottonfields,67.0,7.0,200803.0,0.872,0.7190000000000001,2.0,-8.663,1.0,0.235,0.0121,1.01e-06,0.24600000000000002,0.32,101.96700000000001,4.0,1,1963
Be True To Yourself,34.0,7.0,184653.0,0.556,0.867,8.0,-2.346,1.0,0.0554,0.445,0.0,0.598,0.8959999999999999,143.04,4.0,0,1963
It's My Party,1.0,13.0,170640.0,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,4.0,0,1963
Still No. 2,99.0,2.0,185013.0,0.498,0.727,10.0,-7.511,1.0,0.0409,0.264,0.0,0.0477,0.733,115.37899999999999,4.0,0,1963
The Minute You're Gone,95.0,1.0,230666.0,0.47600000000000003,0.897,9.0,-4.237,0.0,0.0627,0.0048200000000000005,2.3800000000000003e-05,0.152,0.667,152.497,4.0,0,1963
Hootenanny,38.0,9.0,378480.0,0.506,0.40700000000000003,9.0,-12.478,1.0,0.0429,0.0508,4.14e-06,0.28600000000000003,0.633,128.622,4.0,0,1963
My True Confession,22.0,9.0,429733.0,0.428,0.273,6.0,-20.813000000000002,1.0,0.0444,0.693,0.0,0.115,0.256,122.292,4.0,0,1963
Brenda,57.0,6.0,186666.0,0.688,0.6809999999999999,9.0,-7.692,0.0,0.0343,0.243,6.23e-06,0.249,0.7979999999999999,96.05799999999999,4.0,0,1963
Harry The Hairy Ape,17.0,9.0,245635.0,0.563,0.40700000000000003,0.0,-13.852,1.0,0.0358,0.43200000000000005,0.0,0.10400000000000001,0.531,108.70100000000001,4.0,0,1963
Goodnight My Love,32.0,11.0,273215.0,0.5589999999999999,0.867,11.0,-7.584,0.0,0.066,0.073,0.000594,0.214,0.341,135.28799999999998,4.0,0,1963
Dancin' Holiday,86.0,6.0,193079.0,0.5579999999999999,0.647,8.0,-3.81,1.0,0.135,0.424,0.0,0.0909,0.696,154.594,4.0,0,1963
Blue On Blue,3.0,13.0,151493.0,0.613,0.5379999999999999,6.0,-6.332999999999999,1.0,0.0304,0.47100000000000003,1.35e-06,0.138,0.484,122.652,4.0,0,1963
"Tie Me Kangaroo Down, Sport",3.0,11.0,145293.0,0.523,0.8029999999999999,4.0,-5.189,0.0,0.045,0.579,0.0,0.0948,0.898,132.316,4.0,0,1963
I'm Afraid To Go Home,63.0,8.0,152226.0,0.8290000000000001,0.8009999999999999,1.0,-8.449,1.0,0.0382,0.386,0.0,0.12,0.9690000000000001,113.285,4.0,0,1963
Be Careful Of Stones That You Throw,31.0,7.0,158040.0,0.5820000000000001,0.636,0.0,-9.266,1.0,0.0381,0.782,0.0,0.534,0.715,135.769,4.0,0,1963
I Will Love You,65.0,7.0,238333.0,0.35100000000000003,0.74,1.0,-3.432,1.0,0.0318,0.000502,0.00144,0.107,0.218,102.124,4.0,0,1963
Till Then,20.0,9.0,191240.0,0.75,0.905,7.0,-4.064,1.0,0.0407,0.10800000000000001,0.0106,0.36,0.826,117.37200000000001,4.0,0,1963
Surf Party,55.0,6.0,184933.0,0.608,0.669,2.0,-10.807,1.0,0.0303,0.00339,0.000874,0.0609,0.9640000000000001,128.034,4.0,0,1963
Six Days On The Road,32.0,11.0,267373.0,0.48700000000000004,0.821,7.0,-12.854000000000001,1.0,0.0765,0.139,0.904,0.89,0.525,118.521,4.0,0,1963
Not Me,12.0,10.0,202026.0,0.179,0.0307,10.0,-23.511999999999997,0.0,0.0384,0.932,5.8299999999999994e-05,0.107,0.20800000000000002,85.228,4.0,0,1963
Pride And Joy,10.0,14.0,401333.0,0.772,0.46299999999999997,1.0,-12.49,0.0,0.0288,0.10400000000000001,0.000508,0.0676,0.804,109.76,4.0,0,1963
How Many Teardrops,46.0,5.0,214949.0,0.584,0.79,2.0,-6.544,1.0,0.0412,0.0444,4.22e-05,0.0734,0.691,123.961,4.0,0,1963
I'm Not A Fool Anymore,92.0,2.0,246240.0,0.511,0.727,2.0,-10.372,1.0,0.0354,0.0534,1.09e-05,0.24,0.708,166.10299999999998,4.0,0,1963
"Dance, Everybody, Dance",99.0,1.0,175426.0,0.72,0.7909999999999999,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.7559999999999999,102.071,4.0,0,1963
Sometimes You Gotta Cry A Little,56.0,6.0,183000.0,0.795,0.496,0.0,-5.882999999999999,1.0,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,4.0,0,1963
Ring Of Fire,17.0,13.0,273306.0,0.873,0.495,5.0,-6.108,1.0,0.23399999999999999,0.0176,1.4400000000000001e-05,0.0726,0.696,84.98299999999999,4.0,1,1963
It Won't Be This Way (Always),89.0,2.0,207933.0,0.593,0.81,1.0,-5.733,1.0,0.0625,0.602,0.0,0.11900000000000001,0.7120000000000001,144.011,4.0,0,1963
Dum Dum Dee Dum,77.0,4.0,253400.0,0.575,0.386,4.0,-12.012,0.0,0.0319,0.46299999999999997,0.00176,0.0576,0.414,138.467,4.0,0,1963
Shake! Shake! Shake!,33.0,8.0,222320.0,0.523,0.794,2.0,-9.696,1.0,0.0409,0.19899999999999998,0.0978,0.0934,0.8859999999999999,157.971,4.0,0,1963
Make The Music Play,81.0,4.0,206706.0,0.39399999999999996,0.924,9.0,-7.0489999999999995,1.0,0.0556,0.6970000000000001,0.0,0.14800000000000002,0.851,93.352,4.0,0,1963
This Is All I Ask,70.0,7.0,198666.0,0.475,0.314,5.0,-14.052999999999999,1.0,0.0279,0.449,0.00061,0.10800000000000001,0.40399999999999997,148.55100000000002,4.0,0,1963
Mama Don't Allow,55.0,7.0,173533.0,0.42100000000000004,0.619,3.0,-7.678999999999999,1.0,0.0385,0.519,0.0,0.0746,0.851,185.678,3.0,0,1963
Surfin' Hootenanny,48.0,8.0,261026.0,0.723,0.644,11.0,-6.8629999999999995,0.0,0.222,0.0030800000000000003,0.0,0.35200000000000004,0.645,144.09,4.0,0,1963
Detroit City,16.0,12.0,326666.0,0.46,0.81,11.0,-5.008,0.0,0.0557,6.54e-05,0.00018899999999999999,0.12300000000000001,0.38,139.671,4.0,0,1963
Marlena,36.0,8.0,130973.0,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.8059999999999999,119.705,4.0,0,1963
My Whole World Is Falling Down,24.0,9.0,227666.0,0.745,0.608,6.0,-5.525,1.0,0.0373,0.0171,0.0,0.081,0.541,129.303,4.0,0,1963
Daughter,61.0,8.0,164413.0,0.45299999999999996,0.49200000000000005,7.0,-13.294,1.0,0.031,0.35,1.8e-05,0.23,0.609,141.175,4.0,0,1963
These Foolish Things,55.0,6.0,157293.0,0.515,0.312,7.0,-10.504000000000001,1.0,0.0262,0.8170000000000001,0.000669,0.16399999999999998,0.618,98.37200000000001,3.0,0,1963
Memphis,5.0,13.0,197213.0,0.442,0.6990000000000001,2.0,-7.186,1.0,0.0322,0.0253,0.0,0.0608,0.525,127.82700000000001,4.0,0,1963
Hopeless,13.0,11.0,151773.0,0.45399999999999996,0.708,7.0,-9.887,1.0,0.0513,0.935,0.0010199999999999999,0.0967,0.48,75.711,4.0,0,1963
Do The Monkey,92.0,2.0,227720.0,0.355,0.55,10.0,-5.772,1.0,0.0285,0.245,3.2e-05,0.0979,0.26,73.842,4.0,0,1963
(You're the) Devil In Disguise,3.0,11.0,186146.0,0.693,0.39799999999999996,10.0,-15.015999999999998,0.0,0.0436,0.0234,0.0,0.297,0.8,94.646,4.0,0,1963
Twist It Up,25.0,8.0,176453.0,0.575,0.7559999999999999,2.0,-9.414,1.0,0.0544,0.735,0.0401,0.0755,0.8440000000000001,127.434,4.0,0,1963
Surf City,1.0,13.0,168000.0,0.7290000000000001,0.83,4.0,-5.289,0.0,0.0276,0.0377,9.940000000000002e-05,0.0345,0.9179999999999999,112.522,4.0,0,1963
Organ Shout,76.0,3.0,221013.0,0.595,0.852,4.0,-7.9510000000000005,0.0,0.0366,0.0188,1.27e-06,0.331,0.8079999999999999,114.90799999999999,4.0,0,1963
Just One Look,10.0,14.0,223253.0,0.769,0.88,3.0,-7.329,0.0,0.043,0.299,0.0,0.322,0.8490000000000001,110.465,4.0,0,1963
My Daddy Knows Best,67.0,6.0,286840.0,0.63,0.909,1.0,-7.142,1.0,0.0388,0.0431,8.170000000000001e-05,0.23,0.8109999999999999,115.189,4.0,0,1963
Love Me All The Way,94.0,5.0,251400.0,0.674,0.28,5.0,-15.777000000000001,1.0,0.0282,0.48200000000000004,3.51e-06,0.0751,0.389,69.042,4.0,0,1963
A Breath Taking Guy,75.0,7.0,286440.0,0.59,0.672,1.0,-11.792,1.0,0.41200000000000003,0.125,1.04e-06,0.147,0.688,206.247,4.0,0,1963
When A Boy Falls In Love,44.0,10.0,210800.0,0.8170000000000001,0.415,1.0,-6.2860000000000005,1.0,0.0605,0.00366,0.0,0.162,0.325,100.02600000000001,4.0,0,1963
Pay Back,78.0,6.0,263160.0,0.602,0.413,8.0,-15.782,1.0,0.037000000000000005,0.157,0.0,0.0829,0.645,92.557,4.0,0,1963
"Green, Green",14.0,12.0,230920.0,0.826,0.406,0.0,-14.152999999999999,0.0,0.0317,0.00719,0.731,0.0725,0.9390000000000001,100.27799999999999,4.0,0,1963
Your Baby's Gone Surfin',93.0,2.0,206706.0,0.5670000000000001,0.782,0.0,-9.107000000000001,1.0,0.0309,0.00135,0.0,0.331,0.716,98.87899999999999,4.0,0,1963
Judy's Turn To Cry,5.0,11.0,142400.0,0.5529999999999999,0.23399999999999999,2.0,-17.234,1.0,0.0422,0.8240000000000001,0.0062,0.115,0.488,61.563,4.0,0,1963
True Love Never Runs Smooth,21.0,11.0,165533.0,0.6579999999999999,0.8440000000000001,2.0,-6.6739999999999995,1.0,0.0351,0.0155,7.74e-05,0.297,0.6629999999999999,116.20200000000001,4.0,0,1963
I (Who Have Nothing),29.0,12.0,253333.0,0.753,0.975,7.0,-4.621,1.0,0.10400000000000001,0.00223,0.001,0.0229,0.585,122.001,4.0,0,1963
Everybody Monkey,52.0,7.0,198400.0,0.449,0.568,7.0,-8.59,1.0,0.0307,0.606,0.0,0.171,0.64,86.98200000000001,4.0,0,1963
Faded Love,97.0,3.0,184560.0,0.514,0.555,10.0,-7.555,1.0,0.0276,0.397,0.00010400000000000001,0.298,0.657,145.112,4.0,0,1963
Hear The Bells,95.0,4.0,253466.0,0.617,0.187,4.0,-18.646,0.0,0.0444,0.35200000000000004,0.39399999999999996,0.11900000000000001,0.326,133.216,4.0,0,1963
Your Boyfriend's Back,98.0,2.0,173387.0,0.745,0.905,10.0,-4.727,0.0,0.114,0.0842,0.00018999999999999998,0.20800000000000002,0.865,104.992,4.0,0,1963
Chinese Checkers,78.0,7.0,217853.0,0.52,0.7759999999999999,6.0,-4.787,1.0,0.0339,0.0293,0.0,0.106,0.502,144.99200000000002,4.0,0,1963
Desert Pete,33.0,8.0,167906.0,0.46399999999999997,0.233,10.0,-14.399000000000001,1.0,0.0432,0.84,4.62e-06,0.145,0.562,176.22,3.0,0,1963
"Que Sera, Sera (Whatever Will Be, Will Be)",47.0,9.0,226173.0,0.488,0.915,7.0,-4.255,1.0,0.0389,0.0406,0.0,0.35100000000000003,0.6459999999999999,75.01899999999999,4.0,0,1963
