,0
Rock Me Baby,272.0
Sie Liebt Dich (She Loves You),97.0
Cotton Candy,180.0
Every Little Bit Hurts,130.0
The Things That I Used To Do,99.0
Taste Of Tears,261.0
My Baby Don't Dig Me,306.0
Tears And Roses,160.0
The World Of Lonely People,472.0
The French Song,432.0
If You See My Love,184.0
Love Me Do,14.0
Giving Up,380.0
Diane,130.0
A Little Toy Balloon,336.0
Today,221.0
Milord,405.0
I'll Touch A Star,200.0
"Oh, Rock My Soul (Part I)",279.0
My Guy,15.0
Like Columbus Did,96.0
Party Girl,423.0
Just Ain't Enough Love,378.0
Jamaica Ska,98.0
"Hickory, Dick And Doc",504.0
Lazy Elsie Molly,280.0
Yesterday's Gone,189.0
What's The Matter With You Baby,170.0
Kick That Little Foot Sally Ann,488.0
It Will Stand,1280.0
Love Me With All Your Heart (Cuando Calienta El Sol),45.0
Don't Take Your Love From Me,228.0
The World I Used To Know,459.0
It Ain't No Use,544.0
The First Night Of The Full Moon,531.0
I Can't Hear You,330.0
I'll Be In Trouble,297.0
Chapel Of Love,13.0
Peg O' My Heart,384.0
The Mexican Shuffle,425.0
A World Without Love,12.0
A Shot In The Dark,194.0
Not Fade Away,624.0
Little Children,105.0
Bad To Me,90.0
Tennessee Waltz,280.0
Hey Harmonica Man,232.0
Bachelor Boy,99.0
No Particular Place To Go,110.0
I Still Get Jealous,315.0
All Grown Up,98.0
My Boy Lollipop,24.0
Don't Throw Your Love Away,176.0
Oh! Baby (We Got A Good Thing Goin'),552.0
Baby Come Home,300.0
People,95.0
Don't Let The Sun Catch You Crying,48.0
One Piece Topless Bathing Suit,96.0
Farmer John,171.0
You're My Remedy,336.0
It's A Cotton Candy World,99.0
I'm Into Somethin' Good,304.0
Can't You See That She's Mine,40.0
Try It Baby,165.0
Sole Sole Sole,290.0
Al-Di-La,174.0
I Should Have Known Better,212.0
I Can't Get You Out Of My Heart,1089.0
Soul Dressing,190.0
No One To Cry To,330.0
The Girl From Ipanema,60.0
Sugar Lips,210.0
Dang Me,77.0
She's The One,264.0
Keep On Pushing,130.0
Angelito,344.0
"Mixed-Up, Shook-Up, Girl",407.0
Squeeze Her-Tease Her (But Love Her),178.0
Thank You Baby,441.0
Father Sebastian,344.0
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",354.0
Looking For Love,315.0
A House Is Not A Home,525.0
A Tear Fell,250.0
I Wanna Love Him So Bad,108.0
Hey Girl Don't Bother Me,328.0
(You Don't Know) How Glad I Am,121.0
Tell Me (You're Coming Back),240.0
Little Latin Lupe Lu,414.0
I Don't Care (Just As Long As You Love Me),276.0
If I'm A Fool For Loving You,370.0
Lover's Prayer,194.0
Wishin' And Hopin',78.0
Johnny B. Goode,284.0
A Quiet Place,546.0
I'll Cry Instead,175.0
One More Tear,97.0
Can't Get Over (The Bossa Nova),261.0
Me Japanese Boy I Love You,444.0
People Say,108.0
I Want You To Meet My Baby,344.0
Sweet William,280.0
How Do You Do It?,99.0
Invisible Tears,570.0
"Someone, Someone",194.0
Sincerely,300.0
Lovers Always Forgive,445.0
Where Love Has Gone,372.0
When You Loved Me,329.0
Worry,450.0
Ringo's Theme (This Boy),424.0
Walk-Don't Run '64,88.0
Maybe I Know,140.0
If I Fell,477.0
He's In Town,344.0
Gonna Send You Back To Walker (Gonna Send You Back To Georgia),171.0
C'mon And Swim,60.0
Clinging Vine,136.0
Gator Tails And Monkey Ribs,96.0
You Never Can Tell,126.0
There's Nothing I Can Say,282.0
Society Girl,273.0
Always Together,264.0
Everybody Loves Somebody,15.0
Some Day We're Gonna Love Again,272.0
Selfish One,110.0
Yet...I Know (Et Pourtant),462.0
Because,30.0
Till The End Of Time,249.0
Soon I'll Wed My Love,356.0
Knock! Knock! (Who's There?),384.0
In The Misty Moonlight,209.0
Candy To Me,348.0
She Wants T' Swim,350.0
I Guess I'm Crazy,410.0
A Hard Day's Night,13.0
The Cat,402.0
Maybelline,108.0
Somebody New,186.0
L-O-V-E,324.0
Pearly Shells (Popo O Ewa),360.0
The Dartell Stomp,276.0
Out Of Sight,240.0
Haunted House,121.0
Don't Spread It Around,279.0
The Things In This House,258.0
Save It For Me,80.0
I Wouldn't Trade You For The World,414.0
I'm On The Outside (Looking In),150.0
Rhythm,240.0
G.T.O.,52.0
Little Queenie,292.0
Good Night Baby,357.0
Beach Girl,360.0
Matchbox,136.0
From A Window,230.0
That's What Love Is Made Of,210.0
Garden In The Rain,291.0
It Hurts To Be In Love,112.0
20-75,310.0
Baby I Need Your Loving,132.0
Girl (Why You Wanna Make Me Blue),208.0
Remember (Walkin' in the Sand),55.0
Bread And Butter,24.0
Do You Want To Dance,301.0
On The Street Where You Live,224.0
Baby Baby All The Time,415.0
La La La La La,496.0
Funny (How Time Slips Away),156.0
Funny Girl,396.0
You Must Believe Me,150.0
Death Of An Angel,378.0
Up Above My Head (I Hear Music In The Air),425.0
Smack Dab In The Middle,364.0
Heartbreak Hill,198.0
Baby Be Mine,357.0
When I Grow Up (To Be A Man),90.0
I've Got Sand In My Shoes,231.0
"Softly, As I Leave You",297.0
Lumberjack,371.0
Times Have Changed,196.0
A Summer Song,98.0
I Don't Want To See Tomorrow,306.0
Baby Don't You Do It,243.0
That's Where It's At,279.0
Never Trust A Woman,270.0
Wendy,264.0
Beautician Blues,246.0
Why (Doncha Be My Girl),184.0
Jump Back,343.0
Hey Now,456.0
I'm Crying,171.0
Tobacco Road,154.0
Runnin' Out Of Fools,570.0
I've Got The Skill,178.0
Bless Our Love,351.0
Sometimes I Wish I Were A Boy,344.0
Stop Takin' Me For Granted,273.0
I Don't Want To See You Again,144.0
What Good Am I Without You,366.0
Little Marie,324.0
Ain't Doing Too Bad (Part 1),294.0
Do Wah Diddy Diddy,13.0
We'll Sing In The Sunshine,68.0
Little Honda,108.0
Rome Will Never Leave You,99.0
Pretend You Don't See Her,97.0
Don't Ever Leave Me,294.0
Who Can I Turn To (When Nobody Needs Me),330.0
S-W-I-M,336.0
Needle In A Haystack,360.0
California Bound,360.0
"Oh, Pretty Woman",15.0
The Door Is Still Open To My Heart,66.0
Slaughter On Tenth Avenue,245.0
If You Want This Love,639.0
Fiddler On The Roof,194.0
Listen Lonely Girl,496.0
Opportunity,640.0
Ain't That Loving You Baby,160.0
Almost There,335.0
Unless You Care,198.0
We Could,246.0
Everything's Alright,144.0
Sidewalk Surfin',200.0
Big Man In Town,140.0
Ain't It The Truth,360.0
Ask Me,144.0
Leader Of The Pack,12.0
Scratchy,480.0
Without The One You Love (Life's Not Worth While),215.0
The Price,285.0
My Buddy Seat,348.0
Take This Hurt Off Me,194.0
Percolatin',255.0
Walking In The Rain,253.0
Do Anything You Wanna (Part I),592.0
You Really Got Me,105.0
She Understands Me,341.0
I'm Gonna Be Strong,108.0
Do It Right,268.0
"The Sidewinder, Part 1",324.0
Time Is On My Side,78.0
Saturday Night At The Movies,162.0
I'm Into Something Good,169.0
I Want You To Be My Boy,98.0
Do-Wacka-Do,248.0
Ringo,12.0
"Dance, Dance, Dance",88.0
It's Better To Have It,190.0
Oh No Not My Baby,312.0
"Finders Keepers, Losers Weepers",192.0
I Found A Love Oh What A Love,402.0
Leader Of The Laundromat,152.0
She's Not There,30.0
Sometimes I Wonder,512.0
The Crusher,264.0
You're The Only World I Know,582.0
As Tears Go By,198.0
I'm Gonna Love You Too,504.0
"Lovely, Lovely (Loverly, Loverly)",280.0
The 81,510.0
Roses Are Red My Love,387.0
You'll Always Be The One I Love,320.0
I Can't Stop,336.0
Can You Jerk Like Me,329.0
The Crying Game,348.0
"Bucket ""T""",378.0
Lovin' Place,486.0
Come On Do The Jerk,400.0
Makin' Whoopee,368.0
Seven Letters,315.0
Hey-Da-Da-Dow,483.0
Sha La La,144.0
She's A Woman,36.0
Can't You Just See Me,192.0
"No Faith, No Love",455.0
Willow Weep For Me,195.0
Love Me As Though There Were No Tomorrow,100.0
The Jerk,91.0
He's My Guy,504.0
Goin' Out Of My Head,84.0
Use Your Head,204.0
You're Nobody Till Somebody Loves You,225.0
Dear Heart,330.0
Thou Shalt Not Steal,169.0
I Want My Baby Back,276.0
Don't Forget I Still Love You,228.0
Suddenly I'm All Alone,96.0
Diamond Head,210.0
I Feel Fine,11.0
Come See About Me,14.0
Jerk And Twine,340.0
That's How Strong My Love Is,296.0
Somewhere In Your Heart,320.0
Give Him A Great Big Kiss,162.0
I'm Over You,279.0
Look Of Love,243.0
Hello Pretty Girl,378.0
How Sweet It Is To Be Loved By You,84.0
Voice Your Choice,459.0
Do What You Do Do Well,468.0
Have You Looked Into Your Heart,240.0
No Arms Can Ever Hold You,270.0
Thanks A Lot,315.0
Dusty,330.0
Don't Come Running Back To Me,290.0
Hold What You've Got,55.0
Comin' On Too Strong,325.0
Let's Lock The Door (And Throw Away The Key),110.0
Married Man,320.0
Fancy Pants,329.0
Try To Remember,438.0
Break Away (From That Boy),280.0
He Was Really Sayin' Somethin',384.0
It's Gotta Last Forever,335.0
Whose Heart Are You Breaking Tonight,301.0
I Wanna Be (Your Everything),544.0
You're Next,98.0
Paper Tiger,230.0
For Lovin' Me,210.0
You Can't Hurt Me No More,92.0
Does He Really Care For Me,261.0
What Have They Done To The Rain,203.0
All Day And All Of The Night,84.0
Born To Be Together,312.0
This Sporting Life,100.0
The Name Game,42.0
Did You Ever,444.0
Find My Way Back Home,196.0
I Go To Pieces,99.0
"Laugh, Laugh",180.0
The Boy From New York City,80.0
I've Got A Tiger By The Tail,225.0
Ask The Lonely,192.0
Come Tomorrow,300.0
Mean Old World,192.0
Apache '65,448.0
Goodnight,147.0
The Jolly Green Giant,48.0
I Don't Want To Spoil The Party,234.0
Teasin' You,194.0
Who Can I Turn To,372.0
This Diamond Ring,12.0
"Yeh, Yeh",168.0
Land Of A Thousand Dances (Part I),268.0
El Pussy Cat,291.0
Come Home,126.0
Double-O-Seven,267.0
Please Let Me Wonder,260.0
I Can't Explain,186.0
You Better Get It,322.0
(Here They Come) From All Over The World,280.0
For Mama,324.0
Don't Let Your Left Hand Know,95.0
Gee Baby (I'm Sorry),400.0
I Must Be Seeing Things,217.0
For Mama (La Mamma),288.0
"Every Night, Every Day",91.0
Do The Clam,168.0
Mr. Pitiful,369.0
Don't Mess Up A Good Thing,363.0
Ferry Cross The Mersey,66.0
Long Lonely Nights,119.0
Do You Wanna Dance?,96.0
If I Loved You,207.0
Red Roses For A Blue Lady,143.0
The Record (Baby I Love You),252.0
Anytime At All,276.0
I've Got Five Dollars And It's Saturday Night,99.0
Come See,280.0
The Birds And The Bees,42.0
Dear Dad,380.0
Mexican Pearls,188.0
Hawaii Honeymoon,364.0
Talk About Love,194.0
Ain't No Telling,93.0
Not Too Long Ago,396.0
Come Back Baby,460.0
Goldfinger,104.0
Somebody Else Is Taking My Place,318.0
"Peaches ""N"" Cream",288.0
10 Little Bottles,344.0
Sad Tomorrows,94.0
I Can't Stop Thinking Of You,368.0
I Gotta Woman (Part One),237.0
Girl Don't Come,378.0
Apples And Bananas,300.0
He Ain't No Angel,100.0
All Of My Life,426.0
Why Did I Choose You,385.0
Stop! In The Name Of Love,12.0
Toy Soldier,320.0
Whipped Cream,680.0
Nowhere To Run,88.0
"Truly, Truly, True",324.0
Can't You Hear My Heartbeat,30.0
The Race Is On,165.0
The Barracuda,413.0
Think Of The Good Times,456.0
Crazy Downtown,320.0
Shotgun,56.0
Goodbye My Lover Goodbye,364.0
Woman's Got Soul,203.0
The Clapping Song (Clap Pat Clap Slap),72.0
She's Coming Home,348.0
Come On Over To My Place,300.0
I'm Telling You Now,11.0
Play With Fire,96.0
Tired Of Waiting For You,66.0
Yes It Is,184.0
One Kiss For Old Times' Sake,154.0
Super-cali-fragil-istic-expi-ali-docious,330.0
A Woman Can Change A Man,392.0
It's Got The Whole World Shakin',287.0
"Chim, Chim, Cheree",405.0
Subterranean Homesick Blues,312.0
Go Now!,140.0
What Do You Want With Me,408.0
Gotta Have Your Love,385.0
Game Of Love,11.0
It Ain't No Big Thing,297.0
Peanuts (La Cacahuata),256.0
It's Gonna Be Alright,184.0
Georgie Porgie,340.0
It's Growing,162.0
Al's Place,399.0
The Last Time,90.0
Let's Do The Freddie,360.0
The Mouse,456.0
We're Gonna Make It,275.0
Keep On Trying,425.0
You'll Miss Me (When I'm Gone),182.0
Now That You've Gone,371.0
Ooo Baby Baby,176.0
Iko Iko,200.0
I'll Be Doggone,96.0
Reelin' And Rockin',207.0
Baby The Rain Must Fall,168.0
Dream On Little Dreamer,250.0
Do The Freddie,144.0
Tears Keep On Falling,288.0
Wishing It Was You,399.0
You Were Made For Me,147.0
Count Me In,22.0
I'll Never Find Another You,52.0
Boo-Ga-Loo,376.0
She's About A Mover,156.0
From The Bottom Of My Heart (I Love You),279.0
Is This What I Get For Loving You?,300.0
Three O'Clock In The Morning,264.0
Lipstick Traces (On A Cigarette),336.0
Ain't It A Shame,273.0
Love Is A 5-Letter Word,462.0
Just Once In My Life,99.0
Something You Got,495.0
Lip Sync (To The Tongue Twisters),336.0
It's Not Unusual,120.0
I'll Be With You In Apple Blossom Time,312.0
Then I'll Count Again,344.0
My Cherie,264.0
Are You Sincere,255.0
Long Live Love,291.0
True Love Ways,154.0
Silhouettes,65.0
Tell Her (You Love Her Every Day),342.0
It's Wonderful To Be In Love,366.0
L-O-N-E-L-Y,176.0
Nothing Can Stop Me,216.0
Engine Engine #9,63.0
Just A Little,96.0
Blue Shadows,97.0
Soul Sauce (Guacha Guaro),440.0
Last Chance To Turn Around,130.0
Before And After,153.0
Temptation 'Bout To Get Me,350.0
Back In My Arms Again,11.0
Voodoo Woman,297.0
I Want You Back Again,285.0
I'll Keep Holding On,238.0
The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),273.0
I Love You So,490.0
He's A Lover,296.0
What's He Doing In My World,540.0
Summer Sounds,406.0
Stop! Look What You're Doing,276.0
One Monkey Don't Stop No Show,260.0
Catch The Wind,230.0
You Really Know How To Hurt A Guy,243.0
Justine,255.0
Do The Boomerang,252.0
This Little Bird,256.0
"If You Really Want Me To, I'll Go",97.0
Crying In The Chapel,42.0
You've Never Been In Love Like This Before,190.0
I've Been Loving You Too Long (To Stop Now),231.0
It Feels So Right,330.0
"Hush, Hush, Sweet Charlotte",112.0
Buster Browne,192.0
Meeting Over Yonder,384.0
Little Lonely One,378.0
Yakety Axe,196.0
Tonight's The Night,280.0
Ain't That Love,93.0
"Oo Wee Baby, I Love You",230.0
Wooly Bully,36.0
Here Comes The Night,240.0
It's Just A Little Bit Too Late,360.0
A World Of Our Own,190.0
Darling Take Me Back,432.0
Girl Come Running,210.0
Around The Corner,182.0
A Little Bit Of Heaven,160.0
Seein' The Right Love Go Wrong,414.0
Trains And Boats And Planes,329.0
Boot-Leg,580.0
Mr. Tambourine Man,13.0
Laurie (Strange Things Happen),182.0
I Can't Work No Longer,360.0
After Loving You,190.0
We're Doing Fine,96.0
Sitting In The Park,192.0
My Man,474.0
I've Cried My Last Tear,188.0
I Can't Help Myself (Sugar Pie Honey Bunch),14.0
Seventh Son,77.0
Nobody Knows What's Goin' On (In My Mind But Me),441.0
Marie,150.0
Fly Me To The Moon (In Other Words),336.0
He's Got No Love,237.0
You Turn Me On (Turn On Song),104.0
What The World Needs Now Is Love,91.0
The Loser,360.0
Pretty Little Baby,175.0
One Dyin' And A Buryin',238.0
You're My Baby (And Don't You Forget It),315.0
It's Gonna Be Fine,324.0
"Oowee, Oowee",352.0
Canadian Sunset,304.0
"Theme From ""A Summer Place""",144.0
Too Many Rivers,169.0
Tickle Me,490.0
(Say) You're My Girl,273.0
I Want Candy,110.0
Hung On You,329.0
"Cara, Mia",52.0
What Are We Going To Do?,279.0
"Sunshine, Lollipops And Rainbows",143.0
Ride Your Pony,252.0
Simpel Gimpel,91.0
"I'm Henry VIII, I Am",10.0
Don't Just Stand There,88.0
"It's Too Late, Baby Too Late",448.0
You'd Better Come Home,198.0
You Better Go,468.0
You Tell Me Why,266.0
(I Can't Get No) Satisfaction,14.0
It's A Man Down There,402.0
A Little You,336.0
Can't Let You Out Of My Sight,364.0
Moon Over Naples,590.0
Ju Ju Hand,182.0
Save Your Heart For Me,22.0
Too Hot To Hold,279.0
Soul Heaven,198.0
Looking Through The Eyes Of Love,224.0
"Baby, I'm Yours",154.0
If I Didn't Love You,322.0
Sugar Dumpling,288.0
Me Without You,190.0
Give All Your Love To Me,408.0
Shake And Fingerpop,232.0
"You Can't Be True, Dear",188.0
Is It Really Over?,474.0
You're Gonna Make Me Cry,430.0
Only Those In Love,657.0
I Don't Wanna Lose You Baby,245.0
The Silence (Il Silenzio),192.0
If You Wait For Love,375.0
I'll Take You Where The Music's Playing,306.0
Since I Lost My Baby,170.0
Nothing But Heartaches,99.0
How Nice It Is,194.0
Colours,427.0
You've Been In Love Too Long,252.0
"Hold Me, Thrill Me, Kiss Me",120.0
Danger Heartbreak Dead Ahead,488.0
Moonlight And Roses (Bring Mem'ries Of You),459.0
N-E-R-V-O-U-S!,295.0
(My Girl) Sloopy,400.0
Houston,189.0
I'm A Happy Man,288.0
Like A Rolling Stone,24.0
Papa's Got A Brand New Bag (Part I),104.0
The Girl From Peyton Place,438.0
You Can't Take It Away,288.0
These Hands (Small But Mighty),504.0
Ain't It True,280.0
With These Hands,216.0
Heart Full Of Soul,108.0
It Ain't Me Babe,88.0
Agent Double-O-Soul,231.0
Little Miss Sad,444.0
I Need You So,98.0
Ride Away,250.0
There But For Fortune,350.0
Kansas City Star,217.0
The World Through A Tear,684.0
Funny Little Butterflies,385.0
Home Of The Brave,225.0
Just You,180.0
Early Morning Rain,273.0
Laugh At Me,100.0
We Gotta Get Out Of This Place,143.0
Are You A Boy Or Are You A Girl,330.0
The Organ Grinder's Swing,297.0
Autumn Leaves - 1965,276.0
Just One Kiss From You,380.0
You Were On My Mind,45.0
The Dawn Of Correction,252.0
Eve Of Destruction,11.0
Help!,13.0
Catch Us If You Can,44.0
I Believe I'll Love On,192.0
"My Town, My Guy And Me",256.0
What Color (Is A Man),266.0
You've Got Your Troubles,77.0
Inky Dinky Spider (The Spider Song),252.0
Some Enchanted Evening,130.0
I Have Dreamed,182.0
Just Yesterday,365.0
Cara-Lin,312.0
Universal Soldier,371.0
Act Naturally,329.0
So Long Babe,344.0
I Live For The Sun,510.0
Mohair Sam,231.0
The Universal Soldier,315.0
"The ""In"" Crowd",80.0
Hungry For Love,270.0
Not The Lovin' Kind,225.0
Treat Her Right,22.0
Do You Believe In Magic,117.0
"Liar, Liar",168.0
I'm So Thankful,518.0
"If You Don't (Love Me, Tell Me So)",255.0
Looking With My Eyes,512.0
Just A Little Bit Better,70.0
Say Something Funny,176.0
Take Me In Your Arms (Rock Me A Little While),400.0
Forgive Me,366.0
I Want To (Do Everything For You),299.0
Chapel In The Moonlight,224.0
Roses And Rainbows,438.0
Pied Piper,261.0
Round Every Corner,168.0
Don't Have To Shop Around,480.0
Make Me Your Baby,132.0
Honky Tonk '65,390.0
I Found A Girl,210.0
Child Of Our Times,288.0
Positively 4th Street,63.0
I Don't Know What You've Got But It's Got Me - Part I,92.0
But You're Mine,120.0
Cleo's Back,344.0
Let's Move & Groove (Together),616.0
Only Love (Can Save Me Now),188.0
He Touched Me,530.0
Rusty Bells,297.0
(All Of A Sudden) My Heart Sings,266.0
Sinner Man,486.0
My Girl Has Gone,140.0
Run To My Lovin' Arms,192.0
I Want To Meet Him,432.0
Road Runner,552.0
Crawling Back,322.0
Quiet Nights Of Quiet Stars,276.0
A Lover's Concerto,30.0
May The Bird Of Paradise Fly Up Your Nose,150.0
Mystic Eyes,264.0
You've Got To Hide Your Love Away,100.0
The Revolution Kind,280.0
The Drinking Man's Diet,98.0
Do I Make Myself Clear,96.0
I'm Satisfied,356.0
Here It Comes Again,216.0
Our World,420.0
"Run, Baby Run (Back Into My Arms)",156.0
Ain't That Peculiar,96.0
"Mother Nature, Father Time",371.0
Kiss Away,200.0
"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",582.0
Go Away From My World,267.0
Good Time Music,97.0
On A Clear Day You Can See Forever,196.0
Yesterday Man,94.0
I Hear A Symphony,10.0
I Will,100.0
Just One More Day,425.0
Buckaroo,540.0
A Time To Love-A Time To Cry (Petite Fleur),531.0
Princess In Rags,296.0
Taste Of Honey,112.0
Seesaw,396.0
Follow Your Heart,184.0
Sunday And Me,144.0
Apple Of My Eye,256.0
Black Nights,273.0
I Can Never Go Home Anymore,66.0
Crystal Chandelier,357.0
Make The World Go Away,84.0
C.C. Rider,532.0
One Has My Name (The Other Has My Heart),143.0
Baby Come On Home,192.0
Love Bug,426.0
England Swings,88.0
You've Been Cheatin',297.0
Don't Think Twice,132.0
Hole In The Wall,473.0
Giddyup Go,246.0
You Don't Know Like I Know,180.0
Harlem Nocturne,1131.0
Love (Makes Me Do Foolish Things),490.0
Turn! Turn! Turn! (To Everything There Is A Season),14.0
I've Got To Be Somebody,304.0
Please Don't Fight It,420.0
I Got You (I Feel Good),36.0
Little Boy (In Grown Up Clothes),360.0
Rib Tip's (Part 1),94.0
Tired Of Being Lonely,237.0
Broomstick Cowboy,371.0
A Sweet Woman Like You,261.0
Rainbow '65 (Part I),552.0
My Answer,92.0
Ebb Tide,45.0
Because I Love You,192.0
Look Through Any Window,384.0
Satin Pillows,230.0
It's Good News Week,480.0
I Can't Believe You Love Me,360.0
Thunderball,225.0
Can You Please Crawl Out Your Window?,348.0
Under Your Spell Again,280.0
We Got The Winning Hand,100.0
Second Hand Rose,288.0
Tijuana Taxi,304.0
Lost Someone,1222.0
Are You There (With Another Girl),390.0
Is It Me?,198.0
You Didn't Have To Be So Nice,120.0
Attack,162.0
Recovery,296.0
Since I Lost The One I Love,180.0
I'm Too Far Gone (To Turn Around),372.0
A Must To Avoid,72.0
Day Tripper,50.0
Spanish Eyes,180.0
Spread It On Thick,400.0
Cleo's Mood,300.0
We Know We're In Love,228.0
The Men In My Little Girl's Life,54.0
Snow Flake,396.0
The Duck,196.0
The Loop,400.0
I Ain't Gonna Eat Out My Heart Anymore,468.0
Something I Want To Tell You,395.0
The Answer To My Prayer,356.0
(You're Gonna) Hurt Yourself,273.0
Five O'Clock World,56.0
Set You Free This Time,316.0
Where Am I Going?,188.0
Like A Baby,243.0
She's Just My Style,36.0
Jenny Take A Ride!,120.0
My Ship Is Comin' In,315.0
Michelle,162.0
A Well Respected Man,182.0
Bye Bye Blues,378.0
Night Time,240.0
No Matter What Shape (Your Stomach's In),39.0
This Golden Ring,328.0
It Won't Be Wrong,315.0
Breakin' Up Is Breakin' My Heart,248.0
Long Live Our Love,198.0
Shake Hands (And Come Out Crying),276.0
Going To A Go-Go,132.0
Zorba The Greek,132.0
I Confess,320.0
Waitin' In Your Welfare Line,399.0
Barbara Ann,22.0
Put Yourself In My Place,368.0
I See The Light,286.0
Hide & Seek,406.0
Andrea,328.0
Promise Her Anything,296.0
Crying Time,90.0
Uptight (Everything's Alright),42.0
At The Scene,126.0
Don't Mess With Bill,84.0
Up And Down,276.0
In My Room (El Amor),434.0
Moulty,360.0
Why Can't You Bring Me Home,378.0
Baby I Need You,192.0
My World Is Empty Without You,55.0
This Can't Be True,627.0
Working My Way Back To You,81.0
(I'm Just A) Fool For You,176.0
The Boogaloo Party,186.0
Whenever She Holds You,320.0
Batman Theme,153.0
Lightnin' Strikes,15.0
Somewhere There's A Someone,256.0
The One On The Right Is On The Left,276.0
You're Just About To Lose Your Clown,182.0
My Baby Loves Me,242.0
He Wore The Green Beret,267.0
Dear Lover,408.0
I Fought The Law,99.0
I'm Living In Two Worlds,198.0
Inside-Looking Out,238.0
Stop Her On Sight (S.O.S.),384.0
The Rains Came,341.0
The Cheater,132.0
One More Heartache,232.0
I Want Someone,444.0
Listen People,27.0
Philly Dog,445.0
I Feel A Sin Coming On,194.0
Elusive Butterfly,65.0
Greetings (This Is Uncle Sam),100.0
3000 Miles,99.0
I Want To Go With You,396.0
Too Slow,273.0
May My Heart Be Cast Into Stone,255.0
"Shake Me, Wake Me (When It's Over)",162.0
Ain't That A Groove (Part 1),294.0
"Love Is Me, Love Is You",396.0
Magic Town,189.0
You Baby,240.0
Helpless,392.0
Walkin' My Cat Named Dog,198.0
These Boots Are Made For Walkin',14.0
Love Makes The World Go Round,154.0
Outside The Gates Of Heaven,360.0
The Love You Save (May Be Your Own),448.0
Sippin' 'N Chippin',310.0
Hi Heel Sneakers - Pt. 1,350.0
Spanish Flea,189.0
Think I'll Go Somewhere And Cry Myself To Sleep,240.0
California Dreamin',68.0
Memories Are Made Of This,336.0
Nowhere Man,27.0
Sure Gonna Miss Her,81.0
The Ballad Of The Green Berets,13.0
Homeward Bound,60.0
19th Nervous Breakdown,20.0
I Hear Trumpets Blow,240.0
Bad Eye,92.0
What Now My Love,192.0
"Caroline, No",224.0
This Old Heart Of Mine (Is Weak For You),144.0
Real Humdinger,400.0
The Phoenix Love Theme (Senza Fine),288.0
Tippy Toeing,440.0
A Sign Of The Times,88.0
The Teaser,210.0
Rhapsody In The Rain,128.0
I'm So Lonesome I Could Cry,104.0
Till The End Of The Day,400.0
Got My Mojo Working (Part I),357.0
Daydream,24.0
Darling Baby,576.0
He Cried,390.0
Pin The Tail On The Donkey,455.0
Bang Bang (My Baby Shot Me Down),22.0
Louie Louie,1746.0
Distant Drums,315.0
Love Me With All Of Your Heart,228.0
Try Too Hard,96.0
I'll Take Good Care Of You,270.0
I Can't Grow Peaches On A Cherry Tree,374.0
The Cruel War,260.0
History Repeats Itself,273.0
Remember The Rain,320.0
"I'm Comin' Home, Cindy",273.0
Love's Made A Fool Of You,156.0
"Sam, You Made The Pants Too Long",98.0
Marble Breaks And Iron Bends,240.0
Secret Agent Man,33.0
Shapes Of Things,121.0
You Waited Too Long,188.0
Time Won't Let Me,75.0
Love Takes A Long Time Growing,385.0
Dum-De-Da,240.0
Let's Start All Over Again,160.0
Eight Miles High,126.0
Let Me Be Good To You,372.0
Heart's Desire,264.0
Twinkle Toes,234.0
Just A Little Misunderstanding,170.0
Truly Julie's Blues (I'll Be There),325.0
"The ""A"" Team",196.0
The Sun Ain't Gonna Shine (Anymore),117.0
Come And Get Me,249.0
The Ballad Of Irving,306.0
Backstage,200.0
Sloop John B,33.0
Evol-Not Love,468.0
I Know You Better Than That,280.0
Everyday I Have To Cry,385.0
"How Does That Grab You, Darlin'?",56.0
One Too Many Mornings,285.0
Count Down,273.0
Take Some Time Out For Love,264.0
Come Running Back,245.0
Kicks,56.0
Hand Jive,100.0
There's No Living Without Your Loving,350.0
Message To Michael,96.0
Come On Let's Go,198.0
Wiederseh'n,228.0
Love Is Like An Itching In My Heart,72.0
It's A Man's Man's Man's World,72.0
Think Of Me,370.0
The Last Word In Lonesome Is Me,280.0
Good Time Charlie,450.0
I'll Be Gone,184.0
Come On And See Me,400.0
"Monday, Monday",12.0
Dedicated Follower Of Fashion,216.0
I Love You Drops,240.0
Break Out,310.0
Better Use Your Head,378.0
It's An Uphill Climb To The Bottom,440.0
Cloudy Summer Afternoon (Raindrops),434.0
I'll Love You Forever,567.0
When A Woman Loves A Man,365.0
It's That Time Of The Year,273.0
Grim Reaper Of Love,324.0
"Neighbor, Neighbor",390.0
Take This Heart Of Mine,352.0
A Groovy Kind Of Love,26.0
Opus 17 (Don't You Worry 'Bout Me),104.0
What Am I Going To Do Without Your Love,355.0
Girl In Love,189.0
Sweet Talkin' Guy,100.0
Everybody Loves A Nut,192.0
Such A Sweet Thing,198.0
All These Things,194.0
High On Love,282.0
On The Good Ship Lollipop,261.0
Day For Decision,210.0
Did You Ever Have To Make Up Your Mind?,22.0
Peter Rabbit,495.0
Hey Joe,279.0
Ninety-Nine And A Half (Won't Do),424.0
Double Shot (Of My Baby's Love),221.0
My Lover's Prayer,427.0
The More I See You,224.0
