,0
Evening Rain,441.0
Don't Pity Me,480.0
Teardrops Will Fall,366.0
The Diary,210.0
No Regrets,180.0
I Can't Sit Down,188.0
It's Only The Beginning,420.0
Who Cares,387.0
I'm A Man,310.0
Chip Off The Old Block,194.0
Anthony Boy,300.0
Bunny Hop,280.0
The Shag (Is Totally Cool),477.0
Teardrops On Your Letter,261.0
Ballad Of A Girl And Boy,222.0
Smoke Gets In Your Eyes,19.0
The Little Space Girl,240.0
Nobody But You,357.0
Record Hop Blues,82.0
Shirley,410.0
Manhattan Spiritual,160.0
Hurtin' Inside,332.0
Lovers Never Say Goodbye,520.0
Ambrose (Part Five),468.0
Jimmy Kiss And Run,95.0
"Blah, Blah, Blah",399.0
A House Of Love,92.0
The Answer To A Maiden's Prayer,355.0
Goodbye Baby,128.0
Wishful Thinking,158.0
The Chick,100.0
Gotta Travel On,80.0
Fried Eggs,219.0
There Must Be A Way,396.0
Midnight Oil,495.0
Because You're Young,310.0
Pretty Girls Everywhere,540.0
Don't Take Your Guns To Town,384.0
When The Saints Go Marching In,400.0
The All American Boy,32.0
With The Wind And The Rain In Your Hair,294.0
(All of a Sudden) My Heart Sings,255.0
Nola,468.0
The Story Of My Love,336.0
The Children's Marching Song (Nick Nack Paddy Whack),224.0
The Children's Marching Song (Nick Nack Taddy Whack),182.0
Lonely Teardrops,147.0
Telling Lies,450.0
First Anniversary,504.0
I Got A Wife,288.0
The Lonely One,299.0
Yea - Yea (Class Cutter),312.0
Petite Fleur (Little Flower),75.0
Walkin' To Mother's,96.0
Boom-A-Dip-Dip,332.0
May You Always,176.0
Moonlight Serenade,517.0
I Kneel At Your Throne,376.0
Tomboy,261.0
Goodnight Irene,75.0
Raw-Hide,299.0
That's All I Want,98.0
Two Brothers,180.0
She Say (Oom Dooby Doom),252.0
I Go Ape,336.0
I Cried A Tear,126.0
Matilda,705.0
You Can't Be True Dear,225.0
Donna,46.0
Pipe Dreams,164.0
Stagger Lee,21.0
Who's That Knocking,426.0
Jo-Jo The Dog-Faced Boy,292.0
77 Sunset Strip,345.0
I'm Never Gonna Tell,396.0
The Hawaiian Wedding Song (Ke Kali Nei Au),220.0
Love Me In The Daytime,100.0
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha),248.0
I've Had It,96.0
Please Mr. Sun,143.0
"No Other Arms, No Other Lips",297.0
The Walls Have Ears,336.0
The Beat,456.0
The Fountain Of Youth,180.0
Kansas City (Hey-Hey-Hey-Hey),190.0
I Told Myself A Lie,350.0
I Think I'm Gonna Kill Myself,330.0
The Morning Side Of The Mountain,324.0
Lonesome Old House,213.0
Peace,255.0
I Miss You So,297.0
There's No Fool Like A Young Fool,340.0
"Hallelujah, I Love Him So",154.0
Your Cheatin' Heart,410.0
As Time Goes By,473.0
I Still Get A Thrill (Thinking Of You),357.0
It's Late,117.0
The Kissing Tree,420.0
That's My Little Suzie,440.0
Sea Cruise,238.0
For A Penny,253.0
Hey Little Lucy! (Don'tcha Put No Lipstick On),188.0
Young Ideas,444.0
(I Don't Care) Only Love Me,248.0
Never Be Anyone Else But You,96.0
Bonaparte's Retreat,450.0
Someone To Come Home To,312.0
"Frankie's Man, Johnny",399.0
Summer Dreams,385.0
Straight Flush,273.0
Pointed Toe Shoes,186.0
Poor Jenny,264.0
Six Nights A Week,364.0
Tell Him No,104.0
It's Only The Good Times,258.0
That's Why (I Love You So),169.0
Three Stars,132.0
Take A Message To Mary,208.0
Come Softly To Me,16.0
I Need Your Love Tonight,52.0
Guess Who,403.0
Almost Grown,416.0
A String Of Trumpets,576.0
Pink Shoe Laces,57.0
Gotta New Girl,82.0
Guitar Boogie Shuffle,80.0
Since I Don't Have You,228.0
Margie,408.0
The Class,266.0
You Made Me Love You,405.0
The Five Pennies,89.0
Little Boy Blue,264.0
I Waited Too Long,363.0
Enchanted,180.0
I'm Gonna Change Him,252.0
Graduation's Here,312.0
A Prayer And A Juke Box,324.0
Yes - Sir - ee,237.0
Sweet Sugar Lips,97.0
Rockin' Crickets,627.0
La Plume De Ma Tante,430.0
Happy Vacation,190.0
The Happy Organ,17.0
My Melancholy Baby,208.0
I've Come Of Age,392.0
Cherrystone,372.0
"Goodbye Jimmy, Goodbye",154.0
Gidget,492.0
Endlessly,156.0
Flower Of Love,474.0
"Oh, What A Fool",430.0
Ring-A-Ling-A-Lario,256.0
With All Of My Heart,82.0
Taboo,330.0
Cap And Gown,270.0
The Whistling Organ,488.0
Summer's Love,186.0
With My Eyes Wide Open I'm Dreaming,413.0
Quiet Village,64.0
A Teenager In Love,75.0
Crossfire,322.0
Rockin' In The Jungle,234.0
Velvet Waters,459.0
Wonderful You,280.0
Forty Days,360.0
Martinique,176.0
Kansas City,16.0
I Love An Angel,396.0
Sugaree,231.0
Sweet Someone,348.0
Crackin Up,310.0
Bei Mir Bist Du Schön,414.0
Back In The U.S.A.,296.0
Soldier's Joy,174.0
Just Keep It Up,270.0
Alimony,194.0
Who Shot Sam,279.0
Bongo Rock,182.0
Dream Lover,34.0
The Quiet Three,368.0
Beach Time,512.0
Bobby Sox To Stockings,104.0
This I Swear,312.0
Furry Murray,182.0
M.T.A.,165.0
A Boy Without A Girl,140.0
I Looked At Heaven,100.0
Frankie,135.0
Twixt Twelve And Twenty,187.0
"Bells, Bells, Bells (The Bell Song)",576.0
Katy Too,528.0
Hushabye,300.0
Personality,38.0
A Girl's Work Is Never Done,267.0
Like Young,552.0
Ragtime Cowboy Joe,144.0
Ten Thousand Drums,387.0
Tiger,39.0
Sweet Bird Of Youth,192.0
Lipstick On Your Collar,85.0
"Ciao, Ciao Bambina",288.0
I'll Be Satisfied,240.0
Betty My Angel,180.0
There Is Something On Your Mind,704.0
Lonely Guitar,550.0
Private Eye,95.0
One More Sunrise (Morgen),98.0
Don't Tell Me Your Troubles,258.0
The Battle Of New Orleans,21.0
Fog Cutter,93.0
Gee,511.0
Mona Lisa,400.0
Small World,300.0
